First Name,Last Name,Email Address,Student ID,phone #
Christopher,Churchill,christopher.churchill@coloradocollege.edu,496262,9160829642
Kimberly,Glover,kimberly.glover@coloradocollege.edu,638243,9482799352
Owen,Marshall,owen.marshall@coloradocollege.edu,952027,2893569127
Angela,Anderson,angela.anderson@coloradocollege.edu,680104,5700158493
Bernadette,Brown,bernadette.brown@coloradocollege.edu,246693,4361422558
Stephen,Churchill,stephen.churchill@coloradocollege.edu,698385,1159552019
Julian,Mathis,julian.mathis@coloradocollege.edu,573076,6338827722
Zoe,Morgan,zoe.morgan@coloradocollege.edu,372145,7798146483
Kimberly,Knox,kimberly.knox@coloradocollege.edu,400531,6345272507
Paul,Powell,paul.powell@coloradocollege.edu,511556,4013905561
Anne,Vance,anne.vance@coloradocollege.edu,365993,7750180498
Lauren,Martin,lauren.martin@coloradocollege.edu,828488,8279952982
Grace,Bower,grace.bower@coloradocollege.edu,765930,7998486553
Sebastian,Edmunds,sebastian.edmunds@coloradocollege.edu,670884,1925567186
Boris,Clarkson,boris.clarkson@coloradocollege.edu,513682,6687390475
Victor,Ince,victor.ince@coloradocollege.edu,725945,7310677270
Neil,Miller,neil.miller@coloradocollege.edu,961724,4051423322
Diana,Langdon,diana.langdon@coloradocollege.edu,465810,3620944923
Kimberly,Hill,kimberly.hill@coloradocollege.edu,146135,8017410156
Wendy,Ferguson,wendy.ferguson@coloradocollege.edu,366552,4121978832
Leonard,Robertson,leonard.robertson@coloradocollege.edu,542701,3598593221
Lucas,Paige,lucas.paige@coloradocollege.edu,272198,7362017638
Colin,Walker,colin.walker@coloradocollege.edu,591889,4449194752
Jonathan,Black,jonathan.black@coloradocollege.edu,136986,1287992920
James,Ross,james.ross@coloradocollege.edu,663998,1696898022
Rebecca,Hudson,rebecca.hudson@coloradocollege.edu,630468,2374286176
Lisa,Fisher,lisa.fisher@coloradocollege.edu,353382,5093810905
Boris,Young,boris.young@coloradocollege.edu,701826,3410992230
William,Tucker,william.tucker@coloradocollege.edu,455374,4626993882
Jake,Peake,jake.peake@coloradocollege.edu,952394,3794795111
Carolyn,Bailey,carolyn.bailey@coloradocollege.edu,879100,5397833510
Ava,Roberts,ava.roberts@coloradocollege.edu,745851,3244600195
Victor,Graham,victor.graham@coloradocollege.edu,579367,4675735315
Rose,Cameron,rose.cameron@coloradocollege.edu,984050,1709743882
Blake,Anderson,blake.anderson@coloradocollege.edu,817306,9844717964
Megan,Oliver,megan.oliver@coloradocollege.edu,116920,8215960809
Anna,Oliver,anna.oliver@coloradocollege.edu,275448,2247225612
Nicholas,Alsop,nicholas.alsop@coloradocollege.edu,461729,7102147161
Alison,Davidson,alison.davidson@coloradocollege.edu,162875,6193039620
Zoe,Avery,zoe.avery@coloradocollege.edu,401761,3559988411
Jack,Jackson,jack.jackson@coloradocollege.edu,457632,6126680503
Connor,Young,connor.young@coloradocollege.edu,231137,1359618960
Owen,Manning,owen.manning@coloradocollege.edu,517902,6159682196
Adrian,Jones,adrian.jones@coloradocollege.edu,392867,9127358804
Piers,Graham,piers.graham@coloradocollege.edu,602295,3419820643
Rebecca,Ferguson,rebecca.ferguson@coloradocollege.edu,456443,7448373772
Bernadette,Morgan,bernadette.morgan@coloradocollege.edu,997771,4256482079
Lisa,Hemmings,lisa.hemmings@coloradocollege.edu,280723,2519091775
Joshua,Glover,joshua.glover@coloradocollege.edu,976671,7942035474
Michael,Watson,michael.watson@coloradocollege.edu,203463,9188542919
Karen,Miller,karen.miller@coloradocollege.edu,461582,8662478496
Harry,Jackson,harry.jackson@coloradocollege.edu,507330,8541921327
Diane,McLean,diane.mclean@coloradocollege.edu,806574,8791400430
Andrew,Black,andrew.black@coloradocollege.edu,856353,4955821574
Stewart,Hart,stewart.hart@coloradocollege.edu,606635,6164732926
Joseph,Paterson,joseph.paterson@coloradocollege.edu,893190,3730223368
William,Springer,william.springer@coloradocollege.edu,328095,9254171145
Samantha,Gibson,samantha.gibson@coloradocollege.edu,351813,4332852365
Victor,Stewart,victor.stewart@coloradocollege.edu,821352,5683849949
Amanda,Hart,amanda.hart@coloradocollege.edu,390294,4095879456
Lauren,Watson,lauren.watson@coloradocollege.edu,616868,3439988057
Victor,Davies,victor.davies@coloradocollege.edu,219049,2588661504
Theresa,Alsop,theresa.alsop@coloradocollege.edu,674617,4310125399
Anne,Kelly,anne.kelly@coloradocollege.edu,236572,5103209983
Brian,Manning,brian.manning@coloradocollege.edu,814594,8166556359
Boris,Walsh,boris.walsh@coloradocollege.edu,214726,5906765392
Maria,Hill,maria.hill@coloradocollege.edu,860334,8521378602
Sarah,Brown,sarah.brown@coloradocollege.edu,711224,5270010456
Carolyn,Carr,carolyn.carr@coloradocollege.edu,433994,3401184891
Gordon,Short,gordon.short@coloradocollege.edu,465436,3003390057
James,Hodges,james.hodges@coloradocollege.edu,729438,1124430450
Andrea,Smith,andrea.smith@coloradocollege.edu,857093,1308157903
Jason,Murray,jason.murray@coloradocollege.edu,608710,5161592826
Connor,Glover,connor.glover@coloradocollege.edu,864985,3257947918
Leah,Springer,leah.springer@coloradocollege.edu,909577,7466858244
Neil,Duncan,neil.duncan@coloradocollege.edu,519044,8121844560
Joanne,Mackenzie,joanne.mackenzie@coloradocollege.edu,894947,4155711011
Amelia,Davies,amelia.davies@coloradocollege.edu,221733,2588651238
Colin,Paige,colin.paige@coloradocollege.edu,227331,9224037136
Virginia,Mitchell,virginia.mitchell@coloradocollege.edu,228259,2791751134
Andrea,Walker,andrea.walker@coloradocollege.edu,478166,5144702670
John,Hardacre,john.hardacre@coloradocollege.edu,403192,9746109066
Sean,Manning,sean.manning@coloradocollege.edu,482776,1145049598
Bella,Hill,bella.hill@coloradocollege.edu,410380,4721639166
Deirdre,Newman,deirdre.newman@coloradocollege.edu,402942,7810251837
Emily,Ball,emily.ball@coloradocollege.edu,691501,6240411450
Lisa,Graham,lisa.graham@coloradocollege.edu,380048,6344578977
Leonard,Duncan,leonard.duncan@coloradocollege.edu,729485,8437406876
Deirdre,Dyer,deirdre.dyer@coloradocollege.edu,963129,6739709423
James,Hughes,james.hughes@coloradocollege.edu,203935,5156738247
Andrea,Hardacre,andrea.hardacre@coloradocollege.edu,557965,2346854643
Rachel,Sharp,rachel.sharp@coloradocollege.edu,358572,8027179207
Adrian,Rutherford,adrian.rutherford@coloradocollege.edu,973725,2285218169
Felicity,Churchill,felicity.churchill@coloradocollege.edu,809553,6406353347
David,Davidson,david.davidson@coloradocollege.edu,837700,3693454068
Molly,North,molly.north@coloradocollege.edu,511728,1597684224
Sally,Paterson,sally.paterson@coloradocollege.edu,241825,8410756760
Hannah,Mathis,hannah.mathis@coloradocollege.edu,109744,8965136045
Sam,May,sam.may@coloradocollege.edu,622081,8901547103
Natalie,Ball,natalie.ball@coloradocollege.edu,551321,4550856712
Una,Mackay,una.mackay@coloradocollege.edu,891272,1235053029
Samantha,Robertson,samantha.robertson@coloradocollege.edu,900938,5227055483
Liam,Hudson,liam.hudson@coloradocollege.edu,109421,7024124398
Dorothy,Piper,dorothy.piper@coloradocollege.edu,226780,2413268934
Simon,Lawrence,simon.lawrence@coloradocollege.edu,879101,3777311370
Penelope,Chapman,penelope.chapman@coloradocollege.edu,721841,7719991112
Diane,Hart,diane.hart@coloradocollege.edu,727506,2457960912
Diana,Carr,diana.carr@coloradocollege.edu,139882,5835449432
Ryan,Wallace,ryan.wallace@coloradocollege.edu,831219,1290249969
Gabrielle,Dyer,gabrielle.dyer@coloradocollege.edu,457195,2435405011
Evan,Langdon,evan.langdon@coloradocollege.edu,699494,5460587665
Caroline,Newman,caroline.newman@coloradocollege.edu,345465,2962107974
Benjamin,Davidson,benjamin.davidson@coloradocollege.edu,898909,2415638433
Melanie,Hardacre,melanie.hardacre@coloradocollege.edu,576756,2836492672
Jason,Cameron,jason.cameron@coloradocollege.edu,920709,4412936211
Bernadette,Greene,bernadette.greene@coloradocollege.edu,732643,3162449418
Amy,MacDonald,amy.macdonald@coloradocollege.edu,467049,4319431995
Amy,Graham,amy.graham@coloradocollege.edu,754043,6720647624
Steven,Campbell,steven.campbell@coloradocollege.edu,240839,4286962125
Leah,MacLeod,leah.macleod@coloradocollege.edu,201857,5585550607
Dylan,Ince,dylan.ince@coloradocollege.edu,282511,2514381929
Joshua,Kelly,joshua.kelly@coloradocollege.edu,281421,8146776014
Ava,Dowd,ava.dowd@coloradocollege.edu,171557,4110444512
Hannah,Jones,hannah.jones@coloradocollege.edu,174561,8127750086
Sarah,Gill,sarah.gill@coloradocollege.edu,457637,1843100295
Vanessa,Rutherford,vanessa.rutherford@coloradocollege.edu,523838,7212285253
Alison,North,alison.north@coloradocollege.edu,919881,3229355136
Joe,Sutherland,joe.sutherland@coloradocollege.edu,547262,2937443406
Stewart,Burgess,stewart.burgess@coloradocollege.edu,119747,9026103898
Jacob,Nash,jacob.nash@coloradocollege.edu,957145,3068247981
Stewart,Dickens,stewart.dickens@coloradocollege.edu,750934,6499132896
Ian,MacDonald,ian.macdonald@coloradocollege.edu,301123,7768600056
Penelope,Miller,penelope.miller@coloradocollege.edu,827457,1176812379
Jake,Brown,jake.brown@coloradocollege.edu,310514,8171101065
Christian,Hardacre,christian.hardacre@coloradocollege.edu,995529,9754693421
Christian,Blake,christian.blake@coloradocollege.edu,691476,1856049339
Kevin,Gray,kevin.gray@coloradocollege.edu,132448,4596480033
Leonard,Hamilton,leonard.hamilton@coloradocollege.edu,224803,6280591872
Adam,Marshall,adam.marshall@coloradocollege.edu,398209,8743549891
Oliver,Clarkson,oliver.clarkson@coloradocollege.edu,625686,9392436230
Connor,Johnston,connor.johnston@coloradocollege.edu,159151,8521910050
Amelia,Martin,amelia.martin@coloradocollege.edu,547851,9157049875
Charles,Brown,charles.brown@coloradocollege.edu,863895,2435253139
Steven,Vance,steven.vance@coloradocollege.edu,125746,2955579755
Joshua,Hughes,joshua.hughes@coloradocollege.edu,590478,3074272360
Alan,Parr,alan.parr@coloradocollege.edu,446862,1394408228
Lillian,Wilkins,lillian.wilkins@coloradocollege.edu,505878,7384623301
Katherine,Edmunds,katherine.edmunds@coloradocollege.edu,147834,1999514174
Connor,Abraham,connor.abraham@coloradocollege.edu,255818,7747527425
Luke,Young,luke.young@coloradocollege.edu,704970,2408775580
John,Welch,john.welch@coloradocollege.edu,511727,3887801970
Angela,Berry,angela.berry@coloradocollege.edu,562266,8354526781
Brian,Powell,brian.powell@coloradocollege.edu,699550,1442887576
Stephen,Carr,stephen.carr@coloradocollege.edu,496751,2818861912
Harry,Butler,harry.butler@coloradocollege.edu,626075,1407116351
Abigail,Burgess,abigail.burgess@coloradocollege.edu,972719,6324707474
Jason,Edmunds,jason.edmunds@coloradocollege.edu,118002,7336343810
Alexander,Henderson,alexander.henderson@coloradocollege.edu,709970,1954127936
Steven,Lee,steven.lee@coloradocollege.edu,553446,6186634424
Alexander,Miller,alexander.miller@coloradocollege.edu,773512,6729202546
Jacob,Churchill,jacob.churchill@coloradocollege.edu,415384,9274525917
Andrea,Vaughan,andrea.vaughan@coloradocollege.edu,674523,4803808904
Blake,Tucker,blake.tucker@coloradocollege.edu,374362,4157916594
Trevor,Hughes,trevor.hughes@coloradocollege.edu,210706,2695897948
Boris,Dyer,boris.dyer@coloradocollege.edu,544284,5007983363
Lauren,Abraham,lauren.abraham@coloradocollege.edu,471186,7453282361
Wendy,Gray,wendy.gray@coloradocollege.edu,975349,2719267316
Jacob,Jones,jacob.jones@coloradocollege.edu,156669,1087429742
Leah,Lambert,leah.lambert@coloradocollege.edu,199157,5090072462
Melanie,MacDonald,melanie.macdonald@coloradocollege.edu,718393,8068443080
Alan,Ball,alan.ball@coloradocollege.edu,392861,1043725128
Diane,Fraser,diane.fraser@coloradocollege.edu,128163,6086465439
Christopher,Rutherford,christopher.rutherford@coloradocollege.edu,585246,1585398994
Jasmine,Howard,jasmine.howard@coloradocollege.edu,438860,9101509729
Jonathan,Oliver,jonathan.oliver@coloradocollege.edu,829582,3767510634
Oliver,Vaughan,oliver.vaughan@coloradocollege.edu,511403,1093224607
Gordon,Springer,gordon.springer@coloradocollege.edu,263366,9840634228
Jane,Bower,jane.bower@coloradocollege.edu,176825,6410502023
Irene,Parr,irene.parr@coloradocollege.edu,884218,8256565911
Evan,Bond,evan.bond@coloradocollege.edu,342208,8841169310
Chloe,Wright,chloe.wright@coloradocollege.edu,276619,4419150822
Hannah,Ince,hannah.ince@coloradocollege.edu,205320,7292423115
Blake,Springer,blake.springer@coloradocollege.edu,512622,7474356075
Neil,Harris,neil.harris@coloradocollege.edu,701938,5764314252
Peter,Mathis,peter.mathis@coloradocollege.edu,303693,1824675557
Grace,Dyer,grace.dyer@coloradocollege.edu,512311,6433785082
Adam,Ogden,adam.ogden@coloradocollege.edu,613275,2618419519
Oliver,Smith,oliver.smith@coloradocollege.edu,835699,3996150705
Isaac,MacDonald,isaac.macdonald@coloradocollege.edu,496295,3147390099
Piers,Arnold,piers.arnold@coloradocollege.edu,372719,1256887157
Donna,Hemmings,donna.hemmings@coloradocollege.edu,971972,1049592142
Cameron,MacLeod,cameron.macleod@coloradocollege.edu,881212,6099315568
Cameron,Lyman,cameron.lyman@coloradocollege.edu,682091,1908994259
Connor,Peake,connor.peake@coloradocollege.edu,139593,9801640842
Natalie,Smith,natalie.smith@coloradocollege.edu,297770,2983277024
Dorothy,Coleman,dorothy.coleman@coloradocollege.edu,685481,6300355618
Natalie,Bell,natalie.bell@coloradocollege.edu,628717,7789742338
Heather,Knox,heather.knox@coloradocollege.edu,833056,3020664723
Deirdre,Fisher,deirdre.fisher@coloradocollege.edu,838028,6833945629
Elizabeth,Terry,elizabeth.terry@coloradocollege.edu,805914,3191024111
Irene,Wilkins,irene.wilkins@coloradocollege.edu,702946,8878499844
Joanne,Howard,joanne.howard@coloradocollege.edu,203806,6932582872
Hannah,Jackson,hannah.jackson@coloradocollege.edu,854017,2307656719
Vanessa,Ball,vanessa.ball@coloradocollege.edu,327053,7079807101
Thomas,Miller,thomas.miller@coloradocollege.edu,955267,5052326389
Diane,Parsons,diane.parsons@coloradocollege.edu,729514,5174637511
Brandon,Quinn,brandon.quinn@coloradocollege.edu,300056,6535350752
Phil,McGrath,phil.mcgrath@coloradocollege.edu,997877,6603101520
Brian,Poole,brian.poole@coloradocollege.edu,344173,8671357398
Karen,Clarkson,karen.clarkson@coloradocollege.edu,914447,1695811790
Virginia,Parr,virginia.parr@coloradocollege.edu,143884,5334419556
Harry,Kelly,harry.kelly@coloradocollege.edu,375157,2750043892
Melanie,Oliver,melanie.oliver@coloradocollege.edu,458544,5364425175
Hannah,Lambert,hannah.lambert@coloradocollege.edu,456326,3026058618
Diana,Anderson,diana.anderson@coloradocollege.edu,903435,1007255843
Sebastian,Buckland,sebastian.buckland@coloradocollege.edu,651636,2339652502
Brandon,Short,brandon.short@coloradocollege.edu,232879,5238373386
Carl,Forsyth,carl.forsyth@coloradocollege.edu,187576,7152343894
Sonia,Murray,sonia.murray@coloradocollege.edu,901691,9859123196
Donna,Blake,donna.blake@coloradocollege.edu,497229,2250822724
Sean,Paige,sean.paige@coloradocollege.edu,210402,3563350675
Victoria,Henderson,victoria.henderson@coloradocollege.edu,377285,5296796708
Kevin,Lambert,kevin.lambert@coloradocollege.edu,815285,5893691747
Liam,Arnold,liam.arnold@coloradocollege.edu,204895,2172620639
Nathan,Sharp,nathan.sharp@coloradocollege.edu,795238,9851983340
Carl,Ince,carl.ince@coloradocollege.edu,262833,5208483849
Jasmine,McLean,jasmine.mclean@coloradocollege.edu,677095,7974697532
Molly,Jones,molly.jones@coloradocollege.edu,410704,7331167023
Stephanie,Poole,stephanie.poole@coloradocollege.edu,713605,4639254469
Deirdre,Walker,deirdre.walker@coloradocollege.edu,385839,1637381119
Dorothy,Burgess,dorothy.burgess@coloradocollege.edu,418337,6104173982
Rebecca,Robertson,rebecca.robertson@coloradocollege.edu,463624,1785815761
Sam,Kerr,sam.kerr@coloradocollege.edu,945893,2130306092
Ryan,Manning,ryan.manning@coloradocollege.edu,650105,2515485685
Neil,Newman,neil.newman@coloradocollege.edu,997261,6551363828
Paul,King,paul.king@coloradocollege.edu,889654,8867702609
Jane,Wallace,jane.wallace@coloradocollege.edu,654686,7292464147
Yvonne,Wright,yvonne.wright@coloradocollege.edu,766876,8617342623
Blake,Baker,blake.baker@coloradocollege.edu,644485,8222347865
Olivia,Arnold,olivia.arnold@coloradocollege.edu,112748,6018254220
Angela,Wilkins,angela.wilkins@coloradocollege.edu,240523,7261831882
Megan,Lee,megan.lee@coloradocollege.edu,832782,1181989372
Isaac,Ross,isaac.ross@coloradocollege.edu,835643,2921923000
Richard,Carr,richard.carr@coloradocollege.edu,248609,3027168703
Dorothy,Fraser,dorothy.fraser@coloradocollege.edu,697320,4106884111
Luke,Sutherland,luke.sutherland@coloradocollege.edu,793916,1662552185
Carol,Ball,carol.ball@coloradocollege.edu,490979,9505106860
Anna,Hunter,anna.hunter@coloradocollege.edu,855818,4729023965
Faith,Walsh,faith.walsh@coloradocollege.edu,199671,4329606370
Ruth,Howard,ruth.howard@coloradocollege.edu,768446,1876720393
Abigail,Hudson,abigail.hudson@coloradocollege.edu,970178,9227616752
Anna,Mills,anna.mills@coloradocollege.edu,964119,6352456796
Gabrielle,Dickens,gabrielle.dickens@coloradocollege.edu,323539,1741517636
Jake,Hemmings,jake.hemmings@coloradocollege.edu,957818,6402710574
Brian,Ince,brian.ince@coloradocollege.edu,465865,3897468098
Charles,Gibson,charles.gibson@coloradocollege.edu,998270,5891332032
Julia,Dyer,julia.dyer@coloradocollege.edu,456437,7693197506
Zoe,Lambert,zoe.lambert@coloradocollege.edu,200051,7045381342
Felicity,Walsh,felicity.walsh@coloradocollege.edu,789675,3609021177
Ian,Hughes,ian.hughes@coloradocollege.edu,645586,1962370840
Jacob,Hemmings,jacob.hemmings@coloradocollege.edu,181682,3735539198
Wanda,Arnold,wanda.arnold@coloradocollege.edu,122638,2023649928
Stewart,Gray,stewart.gray@coloradocollege.edu,186325,9528388613
Jonathan,Hardacre,jonathan.hardacre@coloradocollege.edu,115420,8596426527
Amanda,Lyman,amanda.lyman@coloradocollege.edu,125343,8419105864
Amelia,Nolan,amelia.nolan@coloradocollege.edu,820725,2328743124
Cameron,Reid,cameron.reid@coloradocollege.edu,653508,8219118802
Gavin,Butler,gavin.butler@coloradocollege.edu,749858,6978858998
Joe,Slater,joe.slater@coloradocollege.edu,681158,4632575397
Madeleine,Wilkins,madeleine.wilkins@coloradocollege.edu,487882,2020013568
Trevor,Kerr,trevor.kerr@coloradocollege.edu,707291,4244816083
Eric,Wilkins,eric.wilkins@coloradocollege.edu,624429,1925444549
Gabrielle,Reid,gabrielle.reid@coloradocollege.edu,983263,9136066977
Fiona,Watson,fiona.watson@coloradocollege.edu,179635,6564415425
Leah,Glover,leah.glover@coloradocollege.edu,511652,6703790291
Ava,Vaughan,ava.vaughan@coloradocollege.edu,758461,6668375736
Dorothy,Watson,dorothy.watson@coloradocollege.edu,198326,9579524113
Brian,Bond,brian.bond@coloradocollege.edu,271961,8716031466
Theresa,Jones,theresa.jones@coloradocollege.edu,738384,2093830134
Adam,Underwood,adam.underwood@coloradocollege.edu,566595,2357360060
Jason,Thomson,jason.thomson@coloradocollege.edu,433102,8922787392
Gavin,Blake,gavin.blake@coloradocollege.edu,484354,7633560792
Tim,Lee,tim.lee@coloradocollege.edu,251128,7792186665
Julia,Blake,julia.blake@coloradocollege.edu,839952,4176821748
Molly,Hudson,molly.hudson@coloradocollege.edu,912111,8221618203
Evan,Abraham,evan.abraham@coloradocollege.edu,250637,5883284697
Leonard,Underwood,leonard.underwood@coloradocollege.edu,687143,6723011916
Amelia,Johnston,amelia.johnston@coloradocollege.edu,589412,9604519920
Sam,Lee,sam.lee@coloradocollege.edu,309077,9876549182
Dominic,Lyman,dominic.lyman@coloradocollege.edu,797496,1874296898
Sally,Clarkson,sally.clarkson@coloradocollege.edu,530215,2677590870
Grace,Wilson,grace.wilson@coloradocollege.edu,420859,8158445657
Warren,Wright,warren.wright@coloradocollege.edu,900556,4280287739
Christian,Coleman,christian.coleman@coloradocollege.edu,742652,7770161198
Rachel,James,rachel.james@coloradocollege.edu,400016,9139238672
Diana,Abraham,diana.abraham@coloradocollege.edu,754254,1666448244
Neil,Ross,neil.ross@coloradocollege.edu,673889,6798125069
Caroline,Parsons,caroline.parsons@coloradocollege.edu,565496,5858793867
Charles,Graham,charles.graham@coloradocollege.edu,657398,9121344659
Andrew,Lyman,andrew.lyman@coloradocollege.edu,821345,3783547869
Kylie,Jackson,kylie.jackson@coloradocollege.edu,488913,8441519610
Joanne,May,joanne.may@coloradocollege.edu,580431,5124710500
Sebastian,Burgess,sebastian.burgess@coloradocollege.edu,757315,1713824902
Phil,Morgan,phil.morgan@coloradocollege.edu,730880,5106718979
Connor,Hemmings,connor.hemmings@coloradocollege.edu,119842,9298259941
Mary,Gibson,mary.gibson@coloradocollege.edu,306426,8729062195
Dylan,Glover,dylan.glover@coloradocollege.edu,909918,7562850451
Benjamin,Fraser,benjamin.fraser@coloradocollege.edu,750662,1059626968
Stephen,Newman,stephen.newman@coloradocollege.edu,923333,7312735912
Max,Lawrence,max.lawrence@coloradocollege.edu,634973,9291639838
Nathan,Walsh,nathan.walsh@coloradocollege.edu,544896,4049929717
Sam,Young,sam.young@coloradocollege.edu,628825,8114460577
Olivia,Metcalfe,olivia.metcalfe@coloradocollege.edu,861837,2358518924
Max,Kerr,max.kerr@coloradocollege.edu,511246,8427777854
Dylan,Vance,dylan.vance@coloradocollege.edu,416934,7717207969
Mary,Black,mary.black@coloradocollege.edu,307109,4942051333
Sebastian,Taylor,sebastian.taylor@coloradocollege.edu,977979,8803527509
Lily,Scott,lily.scott@coloradocollege.edu,416876,7936713241
Owen,Terry,owen.terry@coloradocollege.edu,135069,4327636747
Steven,Smith,steven.smith@coloradocollege.edu,646269,5254494182
Joseph,Springer,joseph.springer@coloradocollege.edu,504051,3256365362
